Comment,Designator,Footprint,LCSC
450mΩ ±25% 600Ω@100MHz,"FB302,FB403",L_0603_1608Metric,C1002
SI2301CDS-T1-GE3,Q322,SOT-23,C10487
S8550,"Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q312,Q313,Q314,Q315,Q316,Q317,Q318",SOT-23,C105432
18.7k 1%,R315,R_0402_1005Metric,C11476
1k,"R301,R302,R303,R319,R320,R321,R322,R323,R324,R326,R327,R331,R332,R333,R334,R402,R408,R411,R427,R428,R430,R434,R435,R436,R446",R_0402_1005Metric,C11702
SN65HVD230,U405,SOIC-8_3.9x4.9mm_P1.27mm,C12084
2.2uF,"C217,C218,C219,C224,C233",R_0402_1005Metric,C12530
SS210,"D304,D305,D306",D_SMA,C14996
1nF,C225,R_0402_1005Metric,C1523
22pF,"C203,C204,C305,C405,C410",C_0402_1005Metric,C1555
2.2uH,"L302,L405,R210,R211,R213,R214,R215,R216,R304,R305,R457,R459,R460,R461",L_0603_1608Metric,C17168
W25Q32JVSS,U202,SOIC-8_5.23x5.23mm_P1.27mm,C179173
NSR0320MW2T1G,D405,D_SOD-323,C191023
SI2302-TP,"Q309,Q310,Q311,Q319,Q320,Q321",SOT-23-3,C20917
220nF,C309,C_0603_1608Metric,C21120
24Mhz,Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2149059
22R,"R202,R208,R209,R223",R_0402_1005Metric,C25092
240R,R207,R_0402_1005Metric,C25094
100k,"R201,R203,R204,R205,R206,R212,R219,R220,R221,R222,R306,R309,R310,R314,R316,R317,R318,R325,R328,R329,R330,R419,R450,R456",R_0402_1005Metric,C25741
150k,"R415,R417,R418",R_0402_1005Metric,C25755
33k 1%,R313,R_0402_1005Metric,C25779
47k,"R451,R452,R453,R454,R455,R458",R_0402_1005Metric,C25792
75k,R416,R_0402_1005Metric,C25798
10k,"R307,R311",R_0603_1608Metric,C25804
3.3nF,C306,C_0402_1005Metric,C26404
68pF,C310,C_0603_1608Metric,C28262
USBLC6-2SC6,"U302,U303",SOT-23-6,C2827654
SCT2650STER,U301,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm,C2840771
100nf,"C201,C202,C205,C206,C209,C210,C211,C212,C214,C215,C220,C221,C222,C223,C226,C227,C229,C231,C232,C234,C235,C236,C304,C406,C411,C413,C417,C426,C427,C428",C_0402_1005Metric,C307331
8.2uH 3.7A,L301,IND-SMD_L7.0-W6.6_FXL0630,C325977
LED,"D408,D409",LED_0402_1005Metric,C364556
Micro_SD_Card_Det1,J203,TF-SMD_TF-PUSH,C393941
 G6K-2F-Y DC12,K301,Relay_DPDT_Omron_G6K-2F-Y,C397194
680k,R414,R_0402_1005Metric,C4131
2.2k,"R217,R218,R308,R312",R_0402_1005Metric,C4190
10uF,"C403,C404,C407,C408,C409,C412",C_0603_1608Metric,C466780
470nF,"C207,C208",R_0402_1005Metric,C47339
SY8088IAAC,"U402,U403",SOT-23-5,C479072
BWU.FL-IPEX1,ANT401,IPEX-SMD_BWIPX-1-001E,C5137195
T113-S3,U201,LQFP-128_14x14mm_P0.4mm,C5197687
1uF,"C230,C301,C401",R_0402_1005Metric,C52923
ATECC608A-MAHDA,U203,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,C616908
10uF 16V,"C313,C314,C315",CP_EIA-3216-18_Kemet-A,C7171
USB_A,J302,USB-A-SMD_USB-234-BCW,C720528
USB_B_Mini,J404,USB_Mini-B_Lumberg_2486_01_Horizontal,C720611
10uF,"C213,C228,C237,C302,C303,C308,C311,C312,C429",C_0603_1608Metric,C96446
2.2uH,"L401,L402",IND-SMD_L2.0-W1.6_VLS201610CX-150M,C97005
