Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT401,BWU.FL-IPEX1,IPEX-SMD_BWIPX-1-001E,34.2,73.4,90.0,top
C201,100nf,C_0402_1005Metric,15.473537,41.350064,0.0,top
C202,100nf,C_0402_1005Metric,40.879795,33.205051,0.0,top
C203,22pF,C_0402_1005Metric,44.529795,45.520051,-90.0,top
C204,22pF,C_0402_1005Metric,44.529795,47.380051,90.0,top
C205,100nf,C_0402_1005Metric,47.449795,45.400051,0.0,top
C206,100nf,C_0402_1005Metric,66.289894,61.400051,90.0,top
C207,470nF,R_0402_1005Metric,71.339794,54.10589,0.0,top
C208,470nF,R_0402_1005Metric,71.339794,56.117566,0.0,top
C209,100nf,C_0402_1005Metric,67.329841,61.400051,90.0,top
C210,100nf,C_0402_1005Metric,68.369788,61.400051,90.0,top
C211,100nf,C_0402_1005Metric,58.829795,39.345051,-90.0,top
C212,100nf,C_0402_1005Metric,71.329795,50.700051,0.0,top
C213,10uF,C_0603_1608Metric,57.53706,38.775051,-90.0,top
C214,100nf,C_0402_1005Metric,59.129795,61.380051,90.0,top
C215,100nf,C_0402_1005Metric,60.149819,61.380052,90.0,top
C217,2.2uF,R_0402_1005Metric,47.449795,44.000051,180.0,top
C218,2.2uF,R_0402_1005Metric,47.449795,42.992051,180.0,top
C219,2.2uF,R_0402_1005Metric,47.449795,41.990051,180.0,top
C220,100nf,C_0402_1005Metric,70.309795,43.600051,0.0,top
C221,100nf,C_0402_1005Metric,70.329795,44.60995,0.0,top
C222,100nf,C_0402_1005Metric,71.329795,49.100051,0.0,top
C223,100nf,C_0402_1005Metric,69.409735,61.400051,90.0,top
C224,2.2uF,R_0402_1005Metric,70.459687,61.400051,90.0,top
C225,1nF,R_0402_1005Metric,64.2,61.400051,90.0,top
C226,100nf,C_0402_1005Metric,65.249947,61.400051,90.0,top
C227,100nf,C_0402_1005Metric,53.819976,38.000051,0.0,top
C228,10uF,C_0603_1608Metric,60.850025,35.725051,-90.0,top
C229,100nf,C_0402_1005Metric,62.150025,36.295051,-90.0,top
C230,1uF,R_0402_1005Metric,47.449795,39.986051,0.0,top
C231,100nf,C_0402_1005Metric,61.329795,39.345051,-90.0,top
C232,100nf,C_0402_1005Metric,47.449795,48.14,180.0,top
C233,2.2uF,R_0402_1005Metric,71.339794,53.100051,0.0,top
C234,100nf,C_0402_1005Metric,44.804795,40.585,90.0,top
C235,100nf,C_0402_1005Metric,62.329795,39.345051,-90.0,top
C236,100nf,C_0402_1005Metric,53.839975,59.300051,180.0,top
C237,10uF,C_0603_1608Metric,53.374975,60.652536,180.0,top
C301,1uF,R_0402_1005Metric,16.509999,67.249338,0.0,top
C302,10uF,C_0603_1608Metric,14.575,64.649337,0.0,top
C303,10uF,C_0603_1608Metric,14.575,63.049337,0.0,top
C304,100nF,C_0402_1005Metric,11.0,68.759337,90.0,top
C305,22pF,C_0402_1005Metric,18.6,68.649337,0.0,top
C306,3.3nF,C_0402_1005Metric,19.08,70.249337,-90.0,top
C308,10uF,C_0603_1608Metric,1.8,69.649337,180.0,top
C309,220nF,C_0603_1608Metric,1.8,71.249337,180.0,top
C310,68pF,C_0603_1608Metric,1.799999,72.849337,180.0,top
C311,10uF,C_0603_1608Metric,-0.6,73.725,-90.0,top
C312,10uF,C_0603_1608Metric,23.1,83.0,90.0,top
C313,10uF 16V,CP_EIA-3216-18_Kemet-A,9.0,66.35,90.0,top
C314,10uF 16V,CP_EIA-3216-18_Kemet-A,6.799999,66.35,90.0,top
C315,10uF 16V,CP_EIA-3216-18_Kemet-A,0.85273,21.40659,270.0,top
C401,1uF,R_0402_1005Metric,34.3,61.125,-90.0,top
C403,10uF,C_0603_1608Metric,24.800228,43.312519,-90.0,top
C404,10uF,C_0603_1608Metric,26.400228,43.312519,-90.0,top
C405,22pF,C_0402_1005Metric,27.636228,40.2,90.0,top
C406,100nF,C_0402_1005Metric,33.64,42.087519,180.0,top
C407,10uF,C_0603_1608Metric,33.175,40.857501,180.0,top
C408,10uF,C_0603_1608Metric,24.800228,37.112522,-90.0,top
C409,10uF,C_0603_1608Metric,26.400228,37.112522,-90.0,top
C410,22pF,C_0402_1005Metric,27.636228,34.097521,90.0,top
C411,100nF,C_0402_1005Metric,33.64,35.887522,180.0,top
C412,10uF,C_0603_1608Metric,33.175,34.5,180.0,top
C413,100nF,C_0402_1005Metric,28.754228,34.097521,-90.0,top
C417,100nf,C_0402_1005Metric,46.0,56.590001,90.0,top
C426,100nf,C_0402_1005Metric,71.6,26.4,0.0,top
C427,100nF,R_0402_1005Metric,33.690001,67.925,180.0,top
C428,100nF,R_0402_1005Metric,33.690001,71.005001,180.0,top
C429,10uF,C_0603_1608Metric,33.0,60.625,-90.0,top
D304,SS210,D_SMA,4.0,22.000001,-90.0,top
D305,SS210,D_SMA,7.0,15.0,0.0,top
D306,SS210,D_SMA,15.445002,77.040017,0.0,top
D405,NSR0320MW2T1G,D_SOD-323,1.95,80.4,0.0,top
D408,LED,LED_0402_1005Metric,33.62,46.8,180.0,top
D409,LED,LED_0402_1005Metric,33.62,45.687519,180.0,top
FB302,450mΩ ±25% 600Ω@100MHz,L_0603_1608Metric,1.8,76.249337,0.0,top
FB403,450mΩ ±25% 600Ω@100MHz,L_0603_1608Metric,1.8,78.6,0.0,top
J203,Micro_SD_Card_Det1,TF-SMD_TF-PUSH,7.963538,39.950064,-90.0,top
J302,USB_A,USB-A-SMD_USB-234-BCW,34.8,87.9,90.0,top
J404,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,20.2,90.1,180.0,top
K301, G6K-2F-Y DC12,Relay_DPDT_Omron_G6K-2F-Y,7.7775,7.75,270.0,top
L301,8.2uH 3.7A,IND-SMD_L7.0-W6.6_FXL0630,8.0,73.6,90.0,top
L302,2.2uH,L_0603_1608Metric,1.775,74.449337,180.0,top
L401,2.2uH,IND-SMD_L2.0-W1.6_VLS201610CX-150M,33.050114,43.887522,0.0,top
L402,2.2uH,IND-SMD_L2.0-W1.6_VLS201610CX-150M,33.050114,37.687522,0.0,top
L405,0R,L_0402_1005Metric,34.2,69.515,-90.0,top
Q301,S8550,SOT-23,15.0,20.537501,90.0,top
Q302,S8550,SOT-23,44.549999,24.7475,270.0,top
Q303,S8550,SOT-23,52.0,24.7475,270.0,top
Q304,S8550,SOT-23,59.820001,24.7475,270.0,top
Q305,S8550,SOT-23,44.549999,20.537501,90.0,top
Q306,S8550,SOT-23,52.0,20.537501,90.0,top
Q307,S8550,SOT-23,59.75,20.537501,90.0,top
Q308,S8550,SOT-23,7.799372,20.537501,270.0,top
Q309,SI2302-TP,SOT-23-3,40.999999,20.6675,90.0,top
Q310,SI2302-TP,SOT-23-3,48.45,20.6675,90.0,top
Q311,SI2302-TP,SOT-23-3,56.120001,20.6675,90.0,top
Q312,S8550,SOT-23,11.288128,20.537501,270.0,top
Q313,S8550,SOT-23,22.25,24.7475,270.0,top
Q314,S8550,SOT-23,29.6,24.7475,270.0,top
Q315,S8550,SOT-23,37.0,24.7475,270.0,top
Q316,S8550,SOT-23,22.25,20.537501,90.0,top
Q317,S8550,SOT-23,29.6,20.537501,90.0,top
Q318,S8550,SOT-23,37.0,20.537501,90.0,top
Q319,SI2302-TP,SOT-23-3,18.7,20.6675,90.0,top
Q320,SI2302-TP,SOT-23-3,26.05,20.6675,90.0,top
Q321,SI2302-TP,SOT-23-3,33.45,20.6675,90.0,top
Q322,SI2301CDS-T1-GE3,SOT-23,29.0,91.4,180.0,top
R201,100k,R_0402_1005Metric,15.473537,45.400064,180.0,top
R202,22R,R_0402_1005Metric,15.473537,42.450064,0.0,top
R203,100k,R_0402_1005Metric,36.079797,33.205051,0.0,top
